,Vegetation,WF_PM25,RX_PM25,WF_PM10,RX_PM10,WF_CO,RX_CO,WF_NOx,RX_NOx,WF_NH3,RX_NH3,WF_SO2,RX_SO2,WF_VOC,RX_VOC,WF_HEAT,RX_HEAT,WF_CONSF,RX_CONSF
311,Salt-desert shrubland,0.007016,0.00701,0.008275,0.008272,0.072216,0.072193,0.002015,0.072193,0.001211,0.001206,0.000863,0.000858,0.017325,0.017322,46029.11012,46029.11012,0.810802341,0.810573232
312,Gambel oak woodland or shrubland,0.060931,0.022695,0.071891,0.02678,0.631753,0.241175,0.017147,0.241175,0.010528,0.004009,0.007352,0.002583,0.151431,0.057609,388535.7662,388535.7662,6.839313251,2.258323622
313,Mountain mahogany woodland or shrubland,0.025813,0.018312,0.030451,0.021603,0.273647,0.196492,0.006663,0.196492,0.004543,0.003257,0.002955,0.00203,0.06538,0.046867,149118.2295,149118.2295,2.598718777,1.726561594
314,Limber pine - Bristlecone pine forest,0.217406,0.164811,0.256536,0.194487,2.517651,1.935017,0.034833,1.935017,0.041333,0.031707,0.01906,0.013731,0.594123,0.455792,710755.3468,710755.3468,13.94133284,7.434819037
315,Interior alpine forb grassland,0.010155,0.0098,0.011979,0.011565,0.103136,0.099551,0.003066,0.099551,0.001731,0.001665,0.00128,0.00124,0.024797,0.023934,70134.46306,70134.46306,1.244031772,1.201502723
316,Northern California coastal shrubland,0.162781,0.162773,0.192084,0.192075,1.656272,1.656206,0.049019,1.656206,0.027692,0.027691,0.020525,0.020522,0.398147,0.398123,1118801.045,1118801.045,22.61846663,20.74146095
317,Rocky Mountain maple forest,0.112547,0.095027,0.132813,0.112123,1.336248,1.136819,0.014744,1.136819,0.02186,0.018581,0.008979,0.007334,0.314279,0.267105,268909.6032,268909.6032,4.249694254,3.154441754
318,Generic wetland grassland,0.052799,0.014093,0.062298,0.016629,0.639937,0.155989,0.005581,0.155989,0.01044,0.00258,0.003841,0.001432,0.150106,0.037038,107907.1765,107907.1765,1.249712663,1.1262042
319,Avalanche and landslide chute forest,0.035779,0.023651,0.042227,0.027912,0.387062,0.261742,0.008446,0.261742,0.006412,0.004322,0.003873,0.002405,0.092206,0.062152,186729.1114,186729.1114,3.216733655,1.838911479
320,Western larch forest,0.356485,0.217331,0.420651,0.256455,4.246211,2.585228,0.045278,2.585228,0.069443,0.042284,0.028037,0.017189,0.998277,0.607889,855688.0456,855688.0456,16.06402285,8.979413752
321,Western hemlock - Alaska cedar forest,0.49855,0.259906,0.588287,0.306689,6.057717,3.153825,0.051354,3.153825,0.098812,0.051453,0.035958,0.018858,1.420461,0.739662,945058.2307,945058.2307,,
322,Sitka spruce - Western hemlock forest,0.939518,0.733596,1.10863,0.865644,11.465156,9.049138,0.091808,9.049138,0.186918,0.147323,0.0664,0.049203,2.686948,2.117799,1650757.692,1650757.692,,
323,Trembling aspen / Sagebrush boreal woodland,0.033638,0.022653,0.03969,0.026731,0.34998,0.23316,0.009351,0.23316,0.005832,0.003893,0.00403,0.002785,0.083861,0.055955,211773.5081,211773.5081,,
324,White spruce woodland,1.163239,1.146776,1.372622,1.353197,14.487671,14.308679,0.084362,14.308679,0.235574,0.232613,0.074227,0.072463,3.386451,3.343838,1426018.852,1426018.852,,
325,White spruce - Mountain hemlock forest,0.314901,0.145697,0.371576,0.171926,3.793709,1.766933,0.035697,1.766933,0.061956,0.028829,0.023592,0.010601,0.890576,0.414427,667403.3328,667403.3328,,
326,Willow - Birch shrubland,0.036928,0.026942,0.043567,0.031794,0.404259,0.27942,0.008254,0.27942,0.006683,0.004657,0.003867,0.003252,0.096145,0.06697,181524.2359,181524.2359,,
327,Sedge - shrub bog,1.262356,1.26064,1.489583,1.48756,15.767931,15.746418,0.086971,15.746418,0.256294,0.255951,0.079299,0.079194,3.684347,3.679323,1439994.39,1439994.39,,
328,Conifer peatland savanna,1.267729,1.265368,1.495926,1.493136,15.823647,15.795522,0.088475,15.795522,0.257234,0.256775,0.079943,0.079762,3.697705,3.691089,1471934.489,1471934.489,,
329,Mountain heath tundra shrubland,0.039146,0.03364,0.046198,0.039703,0.412812,0.344013,0.010331,0.344013,0.006863,0.00575,0.004538,0.004197,0.098717,0.082634,232405.1709,232405.1709,,
330,American dunegrass grassland,0.008944,0.003304,0.010567,0.003901,0.104166,0.033638,0.001375,0.033638,0.001701,0.00056,0.000761,0.000418,0.024572,0.008088,28681.5952,28681.5952,,
331,Sitka alder - Salmonberry shrubland,0.148654,0.072977,0.175418,0.086119,1.726912,0.780549,0.023263,0.780549,0.028341,0.012962,0.012891,0.008158,0.407355,0.186257,484445.584,484445.584,,
332,Balsam poplar - Paper birch forest,0.296183,0.094144,0.349496,0.111091,3.465829,1.117409,0.043843,1.117409,0.056813,0.018278,0.024987,0.007517,0.816736,0.262821,895012.221,895012.221,,
333,Dryas tundra shrubland,0.007774,0.007775,0.009173,0.009174,0.079131,0.079131,0.002341,0.079131,0.001329,0.001321,0.000975,0.000978,0.019024,0.019023,53512.18491,53512.18491,,
334,Cassiope dwarf tundra shrubland,0.035423,0.029886,0.041807,0.035269,0.374676,0.305462,0.009241,0.305462,0.006225,0.005105,0.00407,0.003733,0.089546,0.073376,207528.5678,207528.5678,,
335,Sweetgale shrubland,0.756041,0.698364,0.892118,0.824075,9.431393,8.710217,0.053306,8.710217,0.15333,0.141605,0.047818,0.044226,2.204106,2.035622,905272.2232,905272.2232,,
336,Alaskan Tidal marsh grassland,0.047599,0.006594,0.056171,0.007777,0.58321,0.070389,0.004416,0.070389,0.009498,0.001168,0.003299,0.000739,0.136606,0.016797,82860.91182,82860.91182,,
337,Alaskan freshwater marsh grassland,0.047599,0.006594,0.056171,0.007777,0.58321,0.070389,0.004416,0.070389,0.009498,0.001168,0.003299,0.000739,0.136606,0.016797,82860.91182,82860.91182,,
338,Alaskan wet meadow grassland,0.024014,0.010389,0.028341,0.012262,0.279072,0.108678,0.003753,0.108678,0.004573,0.001806,0.002079,0.001224,0.065822,0.026017,78177.24994,78177.24994,,
